"","lat","lon","lat_lon","site","new_site_name","enforcement","verified_enforcement"
"1",41.038,8.218,"41.038,8.218","asinara","asinara","Partly protected",NA
"2",41.091,8.349,"41.091,8.349","asinara","asinara","Partly protected",NA
"3",41.07740853,7.898180497,"41.07740853,7.898180497","asinara_add","asinara","Partly protected",NA
"4",41.055,8.204,"41.055,8.204","asinara_add","asinara","Partly protected",NA
"5",41.043,8.201,"41.043,8.201","asinara_add","asinara","Partly protected",NA
"6",41,8.155,"41,8.155","asinara_add","asinara","Partly protected",NA
"7",41.825,8.195,"41.825,8.195","asinara_add","asinara","Partly protected",NA
"8",41.049,8.24,"41.049,8.24","asinara_add","asinara","Partly protected",NA
"9",41.062,8.194,"41.062,8.194","asinara_add","asinara","Fully protected",NA
"10",41.121,8.217,"41.121,8.217","asinara_add","asinara","Fully protected",NA
"11",41.024,8.217,"41.024,8.217","asinara_add","asinara","Fully protected",NA
"12",41.005,8.212,"41.005,8.212","asinara_add","asinara","Fully protected",NA
"13",35.501,12.633,"35.501,12.633","lampedusa","lampedusa","Minimally protected",NA
"14",35.526,12.604,"35.526,12.604","lampedusa","lampedusa","Minimally protected",NA
"15",35.870092,12.879812,"35.870092,12.879812","linosa","linosa","Minimally protected",NA
"16",35.87009,12.87981,"35.87009,12.87981","linosa","linosa","Minimally protected",NA
