"","lat","lon","lat_lon","site","new_site_name","enforcement","verified_enforcement"
"1",39.108,23.785,"39.108,23.785","alonissos","alonissos","Minimally protected",NA
"2",39.101,23.779,"39.101,23.779","alonissos","alonissos","Minimally protected",NA
"3",39.152,23.829,"39.152,23.829","alonissos","alonissos","Minimally protected",NA
"4",39.158,23.841,"39.158,23.841","alonissos","alonissos","Minimally protected",NA
"5",39.172,23.872,"39.172,23.872","alonissos","alonissos","Minimally protected",NA
"6",39.203,23.867,"39.203,23.867","alonissos","alonissos","Minimally protected",NA
"7",39.126,2.958,"39.126,2.958","cabrera","cabrera","Partly protected",NA
"8",39.138,2.961,"39.138,2.961","cabrera","cabrera","Partly protected",NA
"9",39.169,2.978,"39.169,2.978","cabrera","cabrera","Partly protected",NA
"10",39.205,2.978,"39.205,2.978","cabrera","cabrera","Partly protected",NA
"11",39.13,2.929,"39.13,2.929","cabrera","cabrera","Partly protected",NA
"12",39.133,2.924,"39.133,2.924","cabrera","cabrera","Partly protected",NA
"13",42.245,3.231,"42.245,3.231","cap_de_creus","cap_de_creus","Partly protected",NA
"14",42.247,3.237,"42.247,3.237","cap_de_creus","cap_de_creus","Partly protected",NA
"15",42.313,3.311,"42.313,3.311","cap_de_creus","cap_de_creus","Partly protected",NA
"16",42.292,3.308,"42.292,3.308","cap_de_creus","cap_de_creus","Partly protected",NA
"17",42.333,3.28,"42.333,3.28","cap_de_creus","cap_de_creus","Partly protected",NA
"18",42.324,3.309,"42.324,3.309","cap_de_creus","cap_de_creus","Partly protected",NA
"19",40.362,8.085,"40.362,8.085","capo_caccia","capo_caccia","Partly protected",NA
"20",40.361,8.084,"40.361,8.084","capo_caccia","capo_caccia","Partly protected",NA
"21",40.569,8.233,"40.569,8.233","capo_caccia","capo_caccia","Partly protected",NA
"22",40.569,8.23,"40.569,8.23","capo_caccia","capo_caccia","Partly protected",NA
"23",40.085,4.1,"40.085,4.1","cavalleria","cavalleria","Partly protected",NA
"24",40.085,4.096,"40.085,4.096","cavalleria","cavalleria","Partly protected",NA
"25",40.091,4.08,"40.091,4.08","cavalleria","cavalleria","Partly protected",NA
"26",40.074,4.094,"40.074,4.094","cavalleria","cavalleria","Partly protected",NA
"27",40.069,4.033,"40.069,4.033","cavalleria","cavalleria","Partly protected",NA
"28",40.059,4.125,"40.059,4.125","cavalleria","cavalleria","Partly protected",NA
"29",38.788,1.481,"38.788,1.481","formentera","formentera","Fully protected",NA
"30",38.799,1.481,"38.799,1.481","formentera","formentera","Fully protected",NA
"31",38.803,1.479,"38.803,1.479","formentera","formentera","Fully protected",NA
"32",38.796,1.48,"38.796,1.48","formentera","formentera","Fully protected",NA
"33",38.787,1.485,"38.787,1.485","formentera","formentera","Fully protected",NA
"34",38.804,1.479,"38.804,1.479","formentera","formentera","Fully protected",NA
"35",42.049,3.22,"42.049,3.22","medes","medes","Fully protected",NA
"36",42.044,3.225,"42.044,3.225","medes","medes","Fully protected",NA
"37",42.041,3.227,"42.041,3.227","medes","medes","Fully protected",NA
"38",42.042,3.225,"42.042,3.225","medes","medes","Fully protected",NA
"39",42.043,3.225,"42.043,3.225","medes","medes","Fully protected",NA
"40",42.049,3.223,"42.049,3.223","medes","medes","Fully protected",NA
"41",39.333,24.327,"39.333,24.327","piperi","piperi","Minimally protected",NA
"42",39.345,24.329,"39.345,24.329","piperi","piperi","Minimally protected",NA
"43",39.358,24.334,"39.358,24.334","piperi","piperi","Minimally protected",NA
"44",39.37,24.331,"39.37,24.331","piperi","piperi","Minimally protected",NA
"45",39.368,24.322,"39.368,24.322","piperi","piperi","Minimally protected",NA
"46",39.367,24.331,"39.367,24.331","piperi","piperi","Minimally protected",NA
