"","data.origin","country","Site","enforcement","pair"
"1","Belmaker","Croatia","brijuni",0,"Brijoni"
"2","Belmaker","Croatia","brijuni",3,"Brijoni"
"3","Belmaker","Israel","gdor",2,"gdor"
"4","Belmaker","Israel","gdor",0,"gdor"
"5","Belmaker","Israel","shikmona",2,"shikmona"
"6","Belmaker","Israel","shikmona",0,"shikmona"
"7","Belmaker","Israel","achziv",3,"achziv"
"8","Belmaker","Israel","achziv",0,"achziv"
"9","Belmaker","France","Banyuls",3,"Banyuls"
"10","Belmaker","France","Banyuls",0,"Banyuls"
"11","Sala - PEW","Spain","formentera",3,"Formentera"
"12","Sala - PEW","Spain","eivissa",0,"Formentera"
"13","Sala - PEW","Spain","cabrera",2,"Cabrera"
"14","Sala - PEW","Spain","dragonera",0,"Cabrera"
"15","Sala - PEW","Spain","illa_de_l'aire",0,"Cavalleria"
"16","Sala - PEW","Spain","cavalleria",2,"Cavalleria"
"17","Sala - PEW","Spain","medes",3,"Medes"
"18","Sala - PEW","Spain","medes",0,"Medes"
"19","azz_asi","Italy","asinara",2,"Asinara"
"20","azz_asi","Italy","asinara",3,"Asinara"
"21","Sala - PEW","Italy","otranto",0,"Torre guaceto"
"22","Sala - PEW","Italy","torre_guaceto",3,"Torre guaceto"
"23","Sala - PEW","Italy","portofino",3,"Portofino"
"24","Sala - PEW","Italy","genova",0,"Portofino"
"25","Sala - PEW","Italy","carloforte",0,"Asinara"
"26","Sala - PEW","Italy","carloforte",0,"Tavolara"
"27","Sala - PEW","Italy","tavolara",3,"Tavolara"
"28","Periklis_MER","Cyprus","Kavo Gkreko",0,"Kavo Gkreko"
"29","Periklis_MER","Cyprus","Kavo Gkreko",2,"Kavo Gkreko"
