"","date","year","season","location","site_n","time","right_observer","left_observer","visibility","direction","abundance","distance","length","species","reserve","id","observer","enforcement","new_a","new_b","new_id","campaign","observer_num","species_richness","max_richness","max_abundance","shannon","max_biomass"
"1","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",1,1,15,"Diplodus.sargus","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0608,2.5,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"2","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",1,1,10,"Diplodus.sargus","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0608,2.5,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"3","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",300,0.5,2,"Diplodus.vulgaris","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0194,2.93,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"4","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",1,1,10,"Thalassoma.pavo","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0092,3.111,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"5","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",1,1,15,"Thalassoma.pavo","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0092,3.111,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"6","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",1,1,8,"Thalassoma.pavo","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0092,3.111,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"7","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",1,1,5,"Thalassoma.pavo","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0092,3.111,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"8","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",1,1,5,"Thalassoma.pavo","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0092,3.111,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"9","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",1,1,10,"Thalassoma.pavo","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0092,3.111,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"10","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",1,1,8,"Thalassoma.pavo","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0092,3.111,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"11","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",3,1,7,"Thalassoma.pavo","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0092,3.111,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
"12","30/04/2015",2015,"Spring","Gdor",7,"10:50","Ori Frid","Shahar Malamud",5.3,"Left",3,1,5,"Thalassoma.pavo","Out","7 D Gdor 2015 Spring Ori Frid Shahar Malamud","Shahar Malamud",0,0.0092,3.111,"7 D Gdor 2015 Spring Shahar Malamud","2015 ","two_observers",3,3,338,0.156824568297958,581.083698350486
