"","species","a","b","les"
"1","Abudefduf saxatilis",0.0209,3.12,NA
"2","Alepes djedaba",0.0488,2.816,"1"
"3","Anthias anthias",0.0242,2.611,"0"
"4","Apogon imberbis",0.114,2.117,"0"
"5","Atherina boyeri",0.0043,3.187,"0"
"6","Argyrosomus regius",0.0143,2.888,"0"
"7","Balistes carolinensis",0.0678,2.429,NA
"8","Boops boops",0.01467,2.877,"0"
"9","Coris julis",0.0082,3.054,"0"
"10","Chromis chromis",0.0275,2.703,"0"
"11","Caranx crysos",0.01,3,"0"
"12","Dasyatis pastinaca",0.0149,2.81,"0"
"13","Decapterus russelli",0.00671,3.136,"1"
"14","Dentex dentex",0.013,2.987,"0"
"15","Dentex gibbosus",0.0236,2.778,"0"
"16","Dicentrarchus labrax",0.0359,2.676,"0"
"17","Dicentrarchus punctatus",0.00552,3.188,"0"
"18","Diplodus cervinus",0.0116,3.14,"0"
"19","Diplodus sargus",0.0608,2.5,"0"
"20","Diplodus puntazzo",0.0044,2.662,"0"
"21","Diplodus vulgaris",0.0194,2.93,"0"
"22","Diplodus annularis",0.0123,3.13,"0"
"23","Echeneis naucrates",0.127,2.113,"0"
"24","Engraulis encrasicolus",0.0174,2.601,"0"
"25","Epinephelus aeneus",0.012,2.987,"0"
"26","Epinephelus costea",0.0176,2.885,NA
"27","Epinephelus marginatus",0.0127,3.085,"0"
"28","Euthynnus alletteratus",0.0065,3.153,"0"
"29","Fistularia commersonii",0.0112,2.54,"1"
"30","Hemiramphus far",0.00231,3,"1"
"31","Lagocephalus sceleratus",0.013,2.933,"0"
"32","Lagocephalus spadiceus",0.0204,2.901,"1"
"33","Lithognathus mormyrus",0.0192,2.83,"0"
"34","Mugilidae",0.0104,2.964,"0"
"35","Muraena helena",0.0056,2.776,"0"
"36","Mullus surmuletus",0.0083,3.15,"0"
"37","Mycteroperca rubra",0.008,3.065,"0"
"38","Oblada melanura",0.017,2.934,"0"
"39","pagellus erythrinus",0.0412,2.58,NA
"40","Pagrus auriga",0.01905,3,"0"
"41","Pagrus coeruleostictus",0.0125,2.995,NA
"42","Parablennius gattorugine",0.0084,3.241,"0"
"43","Parablennius incognitus",0.0103,3.06,"0"
"44","Pagellus acarne",0.0186,2.841,"0"
"45","Pempheris vanicolensis",0.0119,3.026,"1"
"46","Plotosus lineatus",0.008,2.95,"1"
"47","Pomadasys incisus",0.0199,2.834,"0"
"48","Pomatomus saltator",0.0111,2.921,NA
"49","Pseudocaranx dentex",0.131,2.51,"0"
"50","Rhinobatos cemiculus",0.00381,3,NA
"51","Rhinobatos rhinobatos",0.0012,3.192,"0"
"52","Sardina pilchardus",0.00688,3.05,"0"
"53","Sardinella aurita",0.0062,3.076,"0"
"54","Sardinella maderensis",0.00654,3.03,"0"
"55","Sargocentron rubrum",0.0571,2.658,"1"
"56","Sarpa salpa",0.0087,3.134,"0"
"57","Sciaena umbra",0.0069,3.159,"0"
"58","Scomber Japonicus",0.0064,3.107,NA
"59","Scomberomorus commerson",0.012,2.812,"1"
"60","Scorpaena porcus",0.054,2.59,"0"
"61","Scarus ghobban",0.0233,2.919,"1"
"62","Scorpaena maderensis",0.014,3.065,"0"
"63","Serranus cabrilla",0.0174,2.85,"0"
"64","Serranus hepatus",0.0151,3.04,"0"
"65","Serranus scriba",0.0044,3.409,"0"
"66","Seriola dumerili",0.0199,2.964,"0"
"67","Siganus luridus",0.011,3.04,"1"
"68","Siganus rivulatus",0.022,2.82,"1"
"69","Sillago sihama",0.0053,3.064,NA
"70","Solea solea",0.0117,2.988,"0"
"71","Sparisoma cretense",0.01127,3.052,"0"
"72","Sparus aurata",0.0266,2.736,"0"
"73","Spicara smaris",0.0105,2.97,"0"
"74","Spicara maena",0.0089,3.1,"0"
"75","Sphyraena sphyraena",0.009,2.751,"0"
"76","Sphyraena chrysotaenia",0.012,2.73,"1"
"77","Symphodus roissali",0.0069,3.386,"0"
"78","Symphodus doderleini",0.0874,2.028,"0"
"79","Symphodus mediterraneus",0.0173,2.902,"0"
