Trip date,Location,SiteNo,Trans_No,Start time,End time,Sea condition,Depth(m),DepthRange,Time,Lat(N),Lon(E),Right observer,Left observer,Azimuth,VisibilityBlocks,WaterTemp,Direction,Number_Ind,Distance,Length,Species,Family,Order,Reserve
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,80,0,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,10,0,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,30,0,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,7,Chromis chromis,Pomacentridae,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,0,20,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,2,20,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,5,0.5,20,Serranus scriba,Serranidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,3,0.5,15,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,6,0.5,17,Diplodus vulgaris,Sparidae ,Perciformes,In
01-08-17,Brijuni,1,10,,,,8.2,,14:50,44.900247,13.764692,Shahar Malamud,Ori Frid,,12,,Left,1,3,40,Dentex dentex,Sparidae ,Perciformes,In
