"","data.origin","country","site","site.code","sub.site","transect","trans","species","sp.length","sp.n","season","protection","enforcement","total.mpa.ha","size.notake","yr.creation","age.reserve.yr","rug","lon","lat","d.range.code","depth.range","depth","t.area","t.length","t.width"
"1","Belmaker","Croatia","Brijuni",1,1,"Brijuni 1 1 In",2067,"Chromis chromis",12,5,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,6.7,125,25,5
"2","Belmaker","Croatia","Brijuni",1,1,"Brijuni 1 1 In",2067,"Chromis chromis",10,4,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,6.7,125,25,5
"3","Belmaker","Croatia","Brijuni",1,1,"Brijuni 1 1 In",2067,"Chromis chromis",8,10,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,6.7,125,25,5
"4","Belmaker","Croatia","Brijuni",1,1,"Brijuni 1 1 In",2067,"Serranus scriba",12,1,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,6.7,125,25,5
"5","Belmaker","Croatia","Brijuni",1,1,"Brijuni 1 1 In",2067,"Coris julis",12,1,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,6.7,125,25,5
"6","Belmaker","Croatia","Brijuni",1,1,"Brijuni 1 1 In",2067,"Diplodus vulgaris",15,6,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,6.7,125,25,5
"7","Belmaker","Croatia","Brijuni",1,1,"Brijuni 1 1 In",2067,"Diplodus vulgaris",12,3,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,6.7,125,25,5
"8","Belmaker","Croatia","Brijuni",1,1,"Brijuni 1 1 In",2067,"Chromis chromis",12,3,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,6.7,125,25,5
"9","Belmaker","Croatia","Brijuni",1,10,"Brijuni 1 10 In",2046,"Chromis chromis",8,50,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,8.2,125,25,5
"10","Belmaker","Croatia","Brijuni",1,10,"Brijuni 1 10 In",2046,"Diplodus vulgaris",15,10,"Summer","YES","3",2651,2651,1983,35,NA,13.764692,44.900247,NA,NA,8.2,125,25,5
