species,exotic
Chromis.chromis,FALSE
Coris.julis,FALSE
Diplodus.sargus,FALSE
Diplodus.vulgaris,FALSE
Mugil.cephalus,FALSE
Sarpa.salpa,FALSE
Serranus.cabrilla,FALSE
Symphodus.tinca,FALSE
Thalassoma.pavo,FALSE
Dicentrarchus.labrax,FALSE
Diplodus.puntazzo,FALSE
Oblada.melanura,FALSE
Symphodus.roissali,FALSE
Labrus.viridis,FALSE
Epinephelus.marginatus,FALSE
Serranus.scriba,FALSE
Symphodus.cinereus,FALSE
Symphodus.rostratus,FALSE
Tripterygion.delaisi,FALSE
Gobius.bucchichi,FALSE
Labrus.merula,FALSE
Mullus.surmuletus,FALSE
Parablennius.rouxi,FALSE
Parablennius.sanguinolentus,FALSE
Symphodus.ocellatus,FALSE
Seriola.dumerili,FALSE
Symphodus.mediterraneus,FALSE
Spicara.maena,FALSE
Symphodus.melanocercus,FALSE
Muraena.helena,FALSE
Labrus.mixtus,FALSE
Scorpaena.porcus,FALSE
Spondyliosoma.cantharus,FALSE
Sciaena.umbra,FALSE
Dentex.dentex,FALSE
Sparus.aurata,FALSE
Diplodus.annularis,FALSE
Boops.boops,FALSE
Gobius.cruentatus,FALSE
Scorpaena.notata,FALSE
Tripterygion.tripteronotus,FALSE
Sphyraena.viridensis,FALSE
Atherina.boyeri,FALSE
Apogon.imberbis,FALSE
Tripterygion.melanurus,FALSE
Parablennius.zvonimiri,FALSE
Epinephelus.costae,FALSE
Parablennius.gattorugine,FALSE
Gobius.paganellus,FALSE
Phycis.phycis,FALSE
Oedalechilus.labeo,FALSE
Sparisoma.cretense,FALSE
Belone.belone,FALSE
Scorpaena.maderensis,FALSE
Caranx.crysos,FALSE
Dactylopterus.volitans,FALSE
Fistularia.commersonii,TRUE
Scorpaena.scrofa,FALSE
Sphyraena.sphyraena,FALSE
Parablennius.pilicornis,FALSE
Siganus.luridus,TRUE
Trachinotus.ovatus,FALSE
Scartella.cristata,FALSE
Symphodus.doderleini,FALSE
Parablennius.incognitus,FALSE
Lichia.amia,FALSE
Spicara.smaris,FALSE
Serranus.hepatus,FALSE
Lithognathus.mormyrus,FALSE
Ctenolabrus.rupestris,FALSE
Cheilodipterus.novemstriatus,TRUE
Dicentrarchus.punctatus,FALSE
Anthias.anthias,FALSE
Clupeidae,NA
Gobius.xanthocephalus,FALSE
Pagrus.caeruleostictus,FALSE
Diplodus.cervinus,FALSE
Pagrus.pagrus,FALSE
Pomatoschistus.quagga,FALSE
Parablennius.tentacularis,FALSE
Gobius.auratus,FALSE
Gobius.cobitis,FALSE
Sardina.pilchardus,FALSE
Siganus.rivulatus,TRUE
Gobius.geniporus,FALSE
Pterois.miles,TRUE
Torquigener.flavimaculosus,TRUE
Sargocentron.rubrum,TRUE
Euthynnus.alletteratus,FALSE
Pseudocaranx.dentex,FALSE
Trachinus.draco,FALSE
Atherina.spp,NA
Stephanolepis.diaspros,TRUE
Mycteroperca.rubra,FALSE
Taeniura.grabata,FALSE
Pempheris.vanicolensis,TRUE
Pomadasys.incisus,FALSE
Scarus.ghobban,TRUE
Dasyatis.pastinaca,FALSE
Lagocephalus.sceleratus,FALSE
Lagocephalus.sceleratus,TRUE
Balistes.capriscus,FALSE
Parupeneus.forsskali,TRUE
Abudefduf.saxatilis,TRUE
Herklotsichthys.punctatus,TRUE
Epinephelus.aeneus,FALSE
Plotosus.lineatus,TRUE
Sphyraena.chrysotaenia,TRUE
Pagellus.acarne,FALSE
Labridae,NA
Symphodus.spp,NA
Myliobatis.aquila,FALSE
Trachurus.mediterraneus,FALSE
Mullus.barbatus,FALSE
Belonidae,NA
Epinephelus.caninus,FALSE
Chelon.labrosus,FALSE
Trisopterus.minutus,FALSE
Gobius.vittatus,FALSE
Liza.aurata,FALSE
Pomatomus.saltatrix,FALSE
Synodus.saurus,FALSE
Conger.conger,FALSE
Pteragogus.pelycus,TRUE
