species,Size-Class,Home-Range,Activity,Schooling,Level-water,Diets
Abudefduf.saxatilis,S3,Mob,Day,SmallG,Low,OM
Anthias.anthias,S3,Sed,Day,MedG,Low,PK
Apogon.imberbis,S2,Sed,Night,LargeG,Low,PK
Atherina.boyeri,S2,Mob,Day,LargeG,High,PK
Balistes.capriscus,S5,VMob,Day,LargeG,High,IM
Belone.belone,S4,VMob,Day,MedG,High,FC
Boops.boops,S4,Mob,Day,SmallG,High,PK
Caranx.crysos,S5,VMob,Day,LargeG,High,FC
Cheilodipterus.novemstriatus,S2,Sed,Night,SmallG,Low,FC
Chromis.chromis,S3,Mob,Day,LargeG,High,PK
Conger.conger,S6,Sed,Day,Sol,Bottom,FC
Coris.julis,S3,Mob,Day,SmallG,Low,IM
Dactylopterus.volitans,S4,Sed,Both,Sol,Bottom,IM
Dasyatis.pastinaca,S4,VMob,Day,SmallG,Bottom,IM
Dentex.dentex,S6,Mob,Day,SmallG,Low,FC
Diplodus.annularis,S3,Mob,Day,SmallG,Low,IM
Diplodus.cervinus,S4,Mob,Day,SmallG,Low,IM
Diplodus.puntazzo,S5,Mob,Day,SmallG,Low,OM
Diplodus.sargus,S3,Mob,Day,MedG,Low,IM
Diplodus.vulgaris,S4,Mob,Day,SmallG,Low,IM
Epinephelus.aeneus,S6,Mob,Day,Sol,Bottom,IM
Epinephelus.caninus,S6,Mob,Day,Sol,Bottom,IM
Epinephelus.costae,S6,Mob,Day,Sol,Bottom,IM
Epinephelus.marginatus,S6,Mob,Both,Sol,Bottom,IM
Fistularia.commersonii,S6,VMob,Day,SmallG,High,FC
Gobius.bucchichi,S2,Sed,Day,Sol,Bottom,OM
Gobius.cruentatus,S3,Sed,Day,Sol,Bottom,IM
Gobius.xanthocephalus,S2,Sed,Day,Sol,Bottom,IM
Herklotsichthys.punctatus,S2,VMob,Day,LargeG,High,PK
Labrus.mixtus,S4,Mob,Day,Sol,Low,IM
Lagocephalus.sceleratus,S6,VMob,Day,Sol,Low,IM
Lithognathus.mormyrus,S3,Mob,Day,LargeG,Low,OM
Mugil.cephalus,S5,VMob,Day,LargeG,Low,OM
Mullus.surmuletus,S4,Mob,Day,MedG,Low,IM
Muraena.helena,S6,Sed,Night,Sol,Bottom,FC
Mycteroperca.rubra,S6,Mob,Day,Sol,Bottom,FC
Oblada.melanura,S4,Mob,Day,MedG,High,PK
Pagellus.acarne,S4,Mob,Day,SmallG,Low,IM
Pagrus.caeruleostictus,S6,Mob,Day,SmallG,Low,IM
Pagrus.pagrus,S6,Mob,Day,SmallG,Low,IM
Parablennius.gattorugine,S3,Sed,Both,Sol,Bottom,OM
Parablennius.incognitus,S1,Sed,Day,Sol,Bottom,OM
Parablennius.pilicornis,S2,Sed,Day,Sol,Bottom,IM
Parablennius.rouxi,S2,Sed,Both,Sol,Bottom,OM
Parablennius.sanguinolentus,S3,Sed,Day,Sol,Bottom,OM
Parablennius.tentacularis,S2,Sed,Day,Sol,Bottom,OM
Parablennius.zvonimiri,S1,Sed,Both,Sol,Bottom,HD
Parupeneus.forsskali,S3,Mob,Day,SmallG,Bottom,IM
Pempheris.vanicolensis,S3,Sed,Night,MedG,Low,PK
Plotosus.lineatus,S4,Mob,Night,MedG,Bottom,IM
Pomadasys.incisus,S4,Mob,Both,MedG,Low,IM
Pseudocaranx.dentex,S6,VMob,Both,SmallG,High,FC
Pteragogus.pelycus,S2,Mob,Day,SmallG,Bottom,IM
Sardina.pilchardus,S3,VMob,Day,LargeG,High,PK
Sargocentron.rubrum,S4,Mob,Night,Sol,Low,IM
Sarpa.salpa,S4,Mob,Day,LargeG,Low,HM
Scartella.cristata,S2,Sed,Day,Sol,Bottom,OM
Scarus.ghobban,S6,Mob,Day,SmallG,Bottom,OM
Sciaena.umbra,S5,VMob,Day,MedG,Low,FC
Scorpaena.maderensis,S2,Sed,Night,Sol,Bottom,FC
Scorpaena.notata,S3,Sed,Both,Sol,Bottom,IM
Scorpaena.porcus,S4,Sed,Night,Sol,Bottom,FC
Scorpaena.scrofa,S4,Sed,Night,Sol,Bottom,FC
Seriola.dumerili,S6,VMob,Both,SmallG,High,FC
Serranus.cabrilla,S4,Sed,Day,Sol,Bottom,FC
Serranus.hepatus,S3,Sed,Day,Sol,Bottom,IM
Serranus.scriba,S4,Sed,Day,Sol,Bottom,IM
Siganus.luridus,S3,Mob,Day,MedG,Bottom,HD
Siganus.rivulatus,S3,Mob,Day,MedG,Bottom,HD
Sparisoma.cretense,S4,Mob,Day,SmallG,Low,HD
Sparus.aurata,S5,Mob,Day,SmallG,Low,IM
Sphyraena.chrysotaenia,S3,VMob,Both,LargeG,High,FC
Sphyraena.sphyraena,S6,VMob,Night,SmallG,High,FC
Sphyraena.viridensis,S5,VMob,Night,SmallG,High,FC
Spicara.maena,S3,VMob,Day,LargeG,High,IM
Spicara.smaris,S3,VMob,Day,LargeG,High,PK
Spondyliosoma.cantharus,S5,Mob,Day,SmallG,Low,IM
Stephanolepis.diaspros,S3,Mob,Day,SmallG,Bottom,OM
Symphodus.doderleini,S2,Mob,Day,SmallG,Bottom,IM
Symphodus.mediterraneus,S3,Mob,Day,Pair,Low,IM
Symphodus.melanocercus,S2,Mob,Day,Sol,Low,IM
Symphodus.roissali,S3,Mob,Day,Sol,Bottom,IM
Symphodus.tinca,S4,Mob,Day,MedG,Bottom,IM
Synodus.saurus,S4,Sed,Day,Sol,Bottom,FC
Taeniura.grabata,S6,VMob,Day,Sol,Bottom,FC
Thalassoma.pavo,S3,Mob,Day,MedG,Low,PK
Torquigener.flavimaculosus,S2,Mob,Day,Sol,Low,IM
Trachinotus.ovatus,S4,Mob,Day,MedG,High,PK
Tripterygion.delaisi,S2,Sed,Day,Sol,Bottom,IM
Tripterygion.melanurus,S1,Sed,Day,Sol,Bottom,IM
Chelon.labrosus,NA,NA,NA,NA,NA,NA
Ctenolabrus.rupestris,NA,NA,NA,NA,NA,NA
Dicentrarchus.labrax,NA,NA,NA,NA,NA,NA
Dicentrarchus.punctatus,NA,NA,NA,NA,NA,NA
Gobius.auratus,NA,NA,NA,NA,NA,NA
Gobius.cobitis,NA,NA,NA,NA,NA,NA
Gobius.geniporus,NA,NA,NA,NA,NA,NA
Gobius.paganellus,NA,NA,NA,NA,NA,NA
Gobius.vittatus,NA,NA,NA,NA,NA,NA
Labrus.merula,NA,NA,NA,NA,NA,NA
Labrus.viridis,NA,NA,NA,NA,NA,NA
Lichia.amia,NA,NA,NA,NA,NA,NA
Liza.aurata,NA,NA,NA,NA,NA,NA
Mullus.barbatus,NA,NA,NA,NA,NA,NA
Myliobatis.aquila,NA,NA,NA,NA,NA,NA
Oedalechilus.labeo,NA,NA,NA,NA,NA,NA
Phycis.phycis,NA,NA,NA,NA,NA,NA
Pomatomus.saltatrix,NA,NA,NA,NA,NA,NA
Pomatoschistus.quagga,NA,NA,NA,NA,NA,NA
Symphodus.cinereus,NA,NA,NA,NA,NA,NA
Symphodus.ocellatus,NA,NA,NA,NA,NA,NA
Symphodus.rostratus,NA,NA,NA,NA,NA,NA
Trachurus.mediterraneus,NA,NA,NA,NA,NA,NA
Tripterygion.tripteronotus,NA,NA,NA,NA,NA,NA
Trisopterus.minutus,NA,NA,NA,NA,NA,NA
