"","SpecCode","Species","autoctr","StockCode","MaturityRefNo","Sex","AgeMatMin","AgeMatMin2","AgeMatRef","tm","Number","r2","SE_tm","SD_tm","LCL_tm","UCL_tm","LengthMatMin","LengthMatMin2","Type1","LengthMatRef","Lm","SE_Lm","SD_Lm","LCL_Lm","UCL_Lm","Locality","C_Code","E_CODE","Comment","Entered","DateEntered","Modified","DateModified","Expert","DateChecked","TS"
"1",1696,"Atherina boyeri",1663,1892,5455,"female",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"SL",NA,3.90000009536743,NA,NA,NA,NA,"Aberthaw Lagoon, Bristol Channel","826",NA,NA,3,1993-07-05 00:00:00,NA,1993-07-05 00:00:00,NA,NA,NA
"2",1696,"Atherina boyeri",3561,1892,40546,"unsexed",1,NA,40702,NA,NA,NA,NA,NA,NA,NA,4.90000009536743,5.80000019073486,"TL",40702,NA,NA,NA,NA,NA,"southern Mediterranean","250",NA,NA,2,2001-11-27 00:00:00,NA,2001-11-27 00:00:00,NA,NA,NA
"3",1696,"Atherina boyeri",6909,1892,75666,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.19999980926514,NA,"TL",75666,7.75,NA,NA,NA,NA,"Mala Neretva River (2001-2002)","191",546,NA,1817,2008-05-13 00:00:00,NA,2008-05-13 00:00:00,NA,NA,NA
"4",58,"Coris julis",170,68,231,"unsexed",NA,NA,4742,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Mediterranean Sea",NA,13,NA,2,1991-01-31 00:00:00,2,2008-01-09 00:00:00,NA,NA,NA
"5",1752,"Diplodus annularis",6865,1948,56,"female",2,NA,75554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Sea",NA,NA,NA,1723,2008-04-29 23:17:25,NA,2008-04-29 23:17:25,NA,NA,NA
"6",1752,"Diplodus annularis",6114,1948,4781,"unsexed",NA,NA,NA,1,NA,NA,NA,NA,NA,NA,NA,NA,"TL",4781,10,NA,NA,NA,NA,"Eastern Atlantic and Mediterranean Sea",NA,NA,NA,2,2008-01-09 00:00:00,NA,2008-01-09 00:00:00,NA,NA,NA
"7",1752,"Diplodus annularis",3951,1948,43773,"female",NA,NA,43773,2,NA,NA,NA,NA,NA,NA,NA,NA,"TL",43773,12.8000001907349,NA,NA,NA,NA,"off Gran Canaria, 1998","724A",NA,NA,3,2002-10-16 00:00:00,NA,2002-10-16 00:00:00,NA,NA,NA
"8",1752,"Diplodus annularis",3950,1948,43773,"male",NA,NA,43773,1,NA,NA,NA,NA,NA,NA,NA,NA,"TL",43773,10.3000001907349,NA,NA,NA,NA,"off Gran Canaria, 1998","724A",NA,NA,3,2002-10-16 00:00:00,NA,2002-10-16 00:00:00,NA,NA,NA
"9",1752,"Diplodus annularis",6866,1948,56606,"male",1,NA,75554,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Black Sea",NA,NA,NA,1723,2008-04-29 23:18:28,NA,2008-04-29 23:18:28,NA,NA,NA
"10",1752,"Diplodus annularis",7478,1948,57484,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,19.6000003814697,NA,NA,NA,NA,NA,NA,NA,"Eastern Adriatic Sea","191",546,NA,1001,2011-05-17 00:00:00,NA,2011-05-17 00:00:00,NA,NA,NA
"11",1752,"Diplodus annularis",7479,1948,57484,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.69999980926514,20,NA,NA,NA,NA,NA,NA,NA,"Eastern Adriatic Sea","191",546,NA,1001,2011-05-17 00:00:00,NA,2011-05-17 00:00:00,NA,NA,NA
"12",1752,"Diplodus annularis",7831,1948,59263,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,13.4399995803833,NA,NA,NA,NA,"Algarve","620",NA,NA,1001,2012-06-19 19:40:47,NA,2012-06-19 19:40:47,NA,NA,NA
"13",1752,"Diplodus annularis",7832,1948,59263,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,12.8699998855591,NA,NA,NA,NA,"Algarve","620",NA,NA,1001,2012-06-19 19:41:33,NA,2012-06-19 19:41:33,NA,NA,NA
"14",1752,"Diplodus annularis",7480,1948,86706,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,NA,NA,NA,"Eastern Adriatic Sea","191",546,NA,1001,2011-05-17 00:00:00,NA,2011-05-17 00:00:00,NA,NA,NA
"15",1752,"Diplodus annularis",7839,1948,86720,"female",2,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,10,NA,NA,NA,NA,"Eastern central Adriatic Sea","191",NA,"7.0% females at estimated age-2 were mature. All sampled specimens were fully mature above 13 cm TL.",1001,2012-06-22 15:28:18,NA,2012-06-22 15:28:18,NA,NA,NA
"16",1752,"Diplodus annularis",7838,1948,86720,"male",2,3,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"TL",NA,9,NA,NA,NA,NA,"Eastern central Adriatic Sea","191",NA,"29.0% males at estimated age-2 were mature. All sampled specimens were fully mature above 13 cm TL.",1001,2012-06-22 15:26:25,1001,2012-06-22 15:29:14,NA,NA,NA
"17",1752,"Diplodus annularis",7828,1948,90296,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,NA,"TL",NA,10,NA,NA,NA,NA,"Kerkennah Island","788",NA,NA,1001,2012-06-19 19:26:51,NA,2012-06-19 19:26:51,NA,NA,NA
"18",1752,"Diplodus annularis",7827,1948,90296,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8,NA,"TL",NA,9.5,NA,NA,NA,NA,"Kerkennah Island","788",NA,NA,1001,2012-06-19 19:25:51,NA,2012-06-19 19:25:51,NA,NA,NA
"19",1752,"Diplodus annularis",7829,1948,90297,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,11.6000003814697,NA,NA,NA,NA,"Urla Harbor","792",NA,NA,1001,2012-06-19 19:38:04,NA,2012-06-19 19:38:04,NA,NA,NA
"20",1752,"Diplodus annularis",7830,1948,90297,"male",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,11.3999996185303,NA,NA,NA,NA,"Urla Harbor","792",NA,NA,1001,2012-06-19 19:38:32,NA,2012-06-19 19:38:32,NA,NA,NA
"21",1752,"Diplodus annularis",7833,1948,90298,"unsexed",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"TL",NA,12.6000003814697,NA,NA,NA,NA,"coasts of Annaba","012",NA,NA,1001,2012-06-19 19:52:25,NA,2012-06-19 19:52:25,NA,NA,NA
"22",1752,"Diplodus annularis",7840,1948,90334,"female",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"FL",NA,9.5,NA,NA,NA,NA,"Izmir Bay","792",548,NA,1001,2012-06-22 15:45:36,2,2012-10-01 00:00:00,NA,NA,NA
"23",1749,"Diplodus puntazzo",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24",1753,"Diplodus sargus",6115,1949,4781,"unsexed",NA,NA,4781,2,NA,NA,NA,NA,NA,NA,NA,NA,"TL",4781,17,NA,NA,NA,NA,"eastern Atlantic",NA,NA,NA,2,2008-01-09 00:00:00,NA,2008-01-09 00:00:00,NA,NA,NA
"25",1753,"Diplodus sargus",4010,1949,45888,"female",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,"TL",NA,NA,NA,NA,NA,NA,"North of Spain","724",NA,NA,1057,2003-02-24 00:00:00,NA,2003-02-24 00:00:00,NA,NA,NA
"26",1753,"Diplodus sargus",4011,1949,45888,"male",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,20,NA,"TL",NA,NA,NA,NA,NA,NA,"North of Spain ","724",NA,NA,1057,2003-02-24 00:00:00,NA,2003-02-24 00:00:00,NA,NA,NA
"27",1753,"Diplodus sargus",4519,1949,52202,"mixed",NA,NA,52202,2.11999988555908,NA,NA,NA,NA,NA,NA,NA,NA,"TL",52202,16.7299995422363,NA,NA,NA,NA,"Faial Island (Aug 1997- July 1999), Corvo and Santa Maria islands (each summer 1997-1999)","620B",NA,NA,2,2004-09-30 00:00:00,NA,2004-10-05 00:00:00,NA,NA,NA
"28",1753,"Diplodus sargus",9002,1949,108834,"female",NA,NA,96900,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algerian coast (2005-2006)","012",13,NA,2,2016-06-21 00:00:00,NA,2016-06-21 00:00:00,NA,NA,NA
"29",1753,"Diplodus sargus",8998,1949,108834,"female",NA,NA,91877,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gulf of Tunis (2002-2004)","788",13,NA,2,2016-06-21 00:00:00,NA,2016-06-21 00:00:00,NA,NA,NA
"30",1753,"Diplodus sargus",9000,1949,108834,"male",NA,NA,96900,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Algerian coast (2005-2006)","012",13,NA,2,2016-06-21 00:00:00,NA,2016-06-21 00:00:00,NA,NA,NA
"31",1753,"Diplodus sargus",8999,1949,108834,"male",NA,NA,91877,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Gulf of Tunis (2002-2004)","788",13,NA,2,2016-06-21 00:00:00,NA,2016-06-21 00:00:00,NA,NA,NA
"32",4582,"Labrus merula",6131,4768,4742,"unsexed",NA,NA,4742,2,NA,NA,NA,NA,NA,NA,15,20,"TL",4742,NA,NA,NA,NA,NA,"Mediterranean",NA,NA,NA,2,2008-01-10 00:00:00,NA,2008-01-10 00:00:00,NA,NA,NA
"33",785,"Mugil cephalus",1034,801,2285,"unsexed",7,8,48660,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SL",NA,27,NA,NA,NA,NA,"lagoon","788",NA,NA,22,1992-03-09 00:00:00,2,2008-10-10 00:00:00,NA,NA,NA
