"","site","new_site_name"
"1","1_km_south_of_the_marina","Banyuls"
"2","1000m_s_of_harbor","Banyuls"
"3","500m_s_of_harbor","Banyuls"
"4","achziv","achziv"
"5","adrasan","adrasan"
"6","alonissos","alonissos"
"7","asinara","asinara"
"8","asinara_add","asinara"
"9","assecret1210191","Crete_Monoafitis"
"10","assecret1210192","Crete_Monoafitis"
"11","assecret1310191","Crete_Kalydon"
"12","assecret1310192","Crete_Kalydon"
"13","assecret1310193","Crete_Kalydon"
"14","assecret1410191","Crete_Plakias"
"15","assecret1410192","Crete_Plakias"
"16","assecret1410193","Crete_Plakias"
"17","assecret1610191","Crete_Plakias"
"18","assecret1610192","Crete_Plakias"
"19","assecret1610193","Crete_Plakias"
"20","assecret1810191","Crete_Paximadia"
"21","assecret1810192","Crete_Paximadia"
"22","assecret1810193","Crete_Paximadia"
"23","assecret1910191","Crete_Kalydon"
"24","assecret1910192","Crete_Kalydon"
"25","assecret1910193","Crete_Kalydon"
"26","assecret2010191","Crete_Monoafitis"
"27","assecret2010192","Crete_Monoafitis"
"28","assecret2010193","Crete_Monoafitis"
"29","assecret2210191","Crete_Krios"
"30","assecret2210192","Crete_Krios"
"31","ayvalik","ayvalik"
"32","banyuls","Banyuls"
"33","banyuls_port","Banyuls"
"34","beach_at_next_bay_over_from_banyuls","Banyuls"
"35","behind_the_marina","Banyuls"
"36","brijuni","brijuni"
"37","cabrera","cabrera"
"38","cap_de_creus","cap_de_creus"
"39","capo_caccia","capo_caccia"
"40","carloforte","carloforte"
"41","cavalleria","cavalleria"
"42","dragonera","dragonera"
"43","eivissa","eivissa"
"44","fethiye","fethiye"
"45","formentera","formentera"
"46","formentor","formentor"
"47","gdor","gdor"
"48","genova","genova"
"49","gokova","gokova"
"50","gyaros","gyaros"
"51","habonim","habonim"
"52","illa_de_l'aire","illa_de_l'aire"
"53","karpathos","karpathos"
"54","kas","kas"
"55","kimolos","kimolos"
"56","kornati","kornati"
"57","lampedusa","lampedusa"
"58","linosa","linosa"
"59","malta","malta"
"60","maratea","maratea"
"61","marettimo","marettimo"
"62","medes","medes"
"63","miljet","miljet"
"64","montgri","medes"
"65","north_of_the_arches_public_beach","Banyuls"
"66","otranto","otranto"
"67","outside_reseve","Banyuls"
"68","piperi","piperi"
"69","porto_cesareo","porto_cesareo"
"70","portofino","portofino"
"71","san_vito","san_vito"
"72","shikmona","shikmona"
"73","south_edge_of_no-take_zone","Banyuls"
"74","south_of_cape_bear","Banyuls"
"75","tavolara","tavolara"
"76","torre_guaceto","torre_guaceto"
"77","tremiti","tremiti"
"78","ustica","ustica"
"79","Akamas","Akamas"
"80","Akrotiri","Akrotiri"
"81","Kavo Gkreko","Kavo Gkreko"
"82","Moulia","Moulia"
"83","Nisia","Kavo Gkreko"
