data.origin,country,site,lon,lat,trans,species,sp.length,sp.n,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,depth,a,b,tmean,trange,sal_mean,pp_mean,pp_range
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Chromis.chromis,5,20,Summer,NA,NA,650,NA,1962,55,NA,0.03193848,2.758143,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Chromis.chromis,3,100,Summer,NA,NA,650,NA,1962,55,NA,0.03193848,2.758143,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Chromis.chromis,10,1,Summer,NA,NA,650,NA,1962,55,NA,0.03193848,2.758143,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,4,2,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,4,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,8,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,8,2,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,5,2,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,10,2,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,11,5,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,3,12,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,8,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,7,2,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,7,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,8,3,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,3,6,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,10,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,5,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,10,2,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,10,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,10,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,15,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,10,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,15,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,15,2,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,5,2,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,15,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,20,1,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
Belmaker,France,Banyuls_Unknown,3.166758,42.47317,2373,Coris.julis,10,2,Summer,NA,NA,650,NA,1962,55,NA,0.007987878,3.08525,16.79940014,10.72970009,38.25255966,0.003000293,0.008098376
