data.origin,country,site,lon,lat,trans,species,sp.length,sp.n,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,depth,a,b,tmean,trange,sal_mean,pp_mean,pp_range
azz_malt,Malta,Malta,14.324,35.943,331,Coris.julis,8,2,Spring,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,331,Diplodus.sargus,30,1,Spring,NO,0,NA,NA,NA,NA,NA,0.0151,3.05,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,331,Scartella.cristata,5,1,Spring,NO,0,NA,NA,NA,NA,NA,0.01510536,2.842,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,331,Siganus.luridus,28,1,Spring,NO,0,NA,NA,NA,NA,NA,0.0165174,2.949,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,331,Sparisoma.cretense,20,5,Spring,NO,0,NA,NA,NA,NA,NA,0.009821504,3.112833,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,331,Sparisoma.cretense,8,1,Spring,NO,0,NA,NA,NA,NA,NA,0.009821504,3.112833,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,331,Symphodus.tinca,14,1,Spring,NO,0,NA,NA,NA,NA,NA,0.01810476,2.89916,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,331,Thalassoma.pavo,8,3,Spring,NO,0,NA,NA,NA,NA,NA,0.0092,3.111,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,331,Thalassoma.pavo,13,1,Spring,NO,0,NA,NA,NA,NA,NA,0.0092,3.111,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Diplodus.sargus,8,1,Spring,NO,0,NA,NA,NA,NA,NA,0.0151,3.05,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Mugil.cephalus,22,1,Spring,NO,0,NA,NA,NA,NA,NA,0.01402537,2.961864,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Oedalechilus.labeo,19,8,Spring,NO,0,NA,NA,NA,NA,NA,0.0110682,2.979,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Sarpa.salpa,8,2,Spring,NO,0,NA,NA,NA,NA,NA,0.01423233,3.0299,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Sparisoma.cretense,20,13,Spring,NO,0,NA,NA,NA,NA,NA,0.009821504,3.112833,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Symphodus.tinca,14,4,Spring,NO,0,NA,NA,NA,NA,NA,0.01810476,2.89916,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Thalassoma.pavo,8,5,Spring,NO,0,NA,NA,NA,NA,NA,0.0092,3.111,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Thalassoma.pavo,13,2,Spring,NO,0,NA,NA,NA,NA,NA,0.0092,3.111,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Tripterygion.melanurus,7,2,Spring,NO,0,NA,NA,NA,NA,NA,NA,NA,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,332,Tripterygion.tripteronotus,7,1,Spring,NO,0,NA,NA,NA,NA,NA,NA,NA,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,333,Apogon.imberbis,8.5,1,Spring,NO,0,NA,NA,NA,NA,NA,0.03759787,2.6125,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
azz_malt,Malta,Malta,14.324,35.943,333,Coris.julis,8,2,Spring,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.54310017,11.65630007,37.81609344,5.93573e-4,0.002675644
