data.origin,country,site,lon,lat,trans,species,sp.length,sp.n,season,protection,enforcement,total.mpa.ha,size.notake,yr.creation,age.reserve.yr,depth,a,b,tmean,trange,sal_mean,pp_mean,pp_range
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Coris.julis,13,1,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Coris.julis,8,7,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Coris.julis,3,7,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Diplodus.annularis,3,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01339869,3.115114,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Diplodus.sargus,13,1,Summer,NO,0,NA,NA,NA,NA,NA,0.0151,3.05,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Diplodus.vulgaris,13,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01416999,3.073147,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Serranus.scriba,8,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01239112,3.024364,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Serranus.scriba,13,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01239112,3.024364,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Serranus.scriba,18,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01239112,3.024364,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Spondyliosoma.cantharus,13,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01429935,3.060176,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Symphodus.tinca,8,3,Summer,NO,0,NA,NA,NA,NA,NA,0.01810476,2.89916,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Symphodus.tinca,3,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01810476,2.89916,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Thalassoma.pavo,8,4,Summer,NO,0,NA,NA,NA,NA,NA,0.0092,3.111,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1353,Thalassoma.pavo,13,1,Summer,NO,0,NA,NA,NA,NA,NA,0.0092,3.111,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Apogon.imberbis,8,1,Summer,NO,0,NA,NA,NA,NA,NA,0.03759787,2.6125,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Coris.julis,8,5,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Coris.julis,3,2,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Coris.julis,13,1,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Diplodus.annularis,8,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01339869,3.115114,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Serranus.scriba,8,5,Summer,NO,0,NA,NA,NA,NA,NA,0.01239112,3.024364,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Symphodus.ocellatus,8,3,Summer,NO,0,NA,NA,NA,NA,NA,0.01058648,3.1768,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Symphodus.tinca,13,3,Summer,NO,0,NA,NA,NA,NA,NA,0.01810476,2.89916,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Symphodus.tinca,3,4,Summer,NO,0,NA,NA,NA,NA,NA,0.01810476,2.89916,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Symphodus.tinca,8,4,Summer,NO,0,NA,NA,NA,NA,NA,0.01810476,2.89916,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Thalassoma.pavo,13,1,Summer,NO,0,NA,NA,NA,NA,NA,0.0092,3.111,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Thalassoma.pavo,3,1,Summer,NO,0,NA,NA,NA,NA,NA,0.0092,3.111,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1354,Thalassoma.pavo,8,2,Summer,NO,0,NA,NA,NA,NA,NA,0.0092,3.111,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Apogon.imberbis,3,1,Summer,NO,0,NA,NA,NA,NA,NA,0.03759787,2.6125,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Chromis.chromis,8,40,Summer,NO,0,NA,NA,NA,NA,NA,0.03193848,2.758143,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Chromis.chromis,3,40,Summer,NO,0,NA,NA,NA,NA,NA,0.03193848,2.758143,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Coris.julis,18,2,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Coris.julis,13,3,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Coris.julis,8,4,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Coris.julis,3,4,Summer,NO,0,NA,NA,NA,NA,NA,0.007987878,3.08525,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Diplodus.sargus,28,1,Summer,NO,0,NA,NA,NA,NA,NA,0.0151,3.05,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Diplodus.vulgaris,8,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01416999,3.073147,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Diplodus.vulgaris,23,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01416999,3.073147,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Gobius.bucchichi,8,1,Summer,NO,0,NA,NA,NA,NA,NA,NA,NA,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Sarpa.salpa,8,12,Summer,NO,0,NA,NA,NA,NA,NA,0.01423233,3.0299,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Serranus.cabrilla,8,2,Summer,NO,0,NA,NA,NA,NA,NA,0.01793521,2.869466,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Serranus.cabrilla,13,1,Summer,NO,0,NA,NA,NA,NA,NA,0.01793521,2.869466,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
Sala - PEW,Italy,MARATEA,15.674,40.017,1355,Symphodus.doderleini,8,1,Summer,NO,0,NA,NA,NA,NA,NA,0.02701463,2.6125,20.37239990234375,13.226199722290039,NA,4.0945663931779563e-4,0.0013500927248969673
