site,protection,n_transect,Latitude,Longitude
1_km_south_of_the_marina,Protected,8,42.479503,3.147556
1000m_s_of_harbor,Protected,4,42.480597,3.146186
500m_s_of_harbor,Protected,3,42.481119,3.141128
banyuls,Protected,4,42.481189,3.139475
banyuls_port,Protected,2,42.482833,3.137189
beach_at_next_bay_over_from_banyuls,Not protected,4,42.487739,3.128236
behind_the_marina,Protected,1,42.481239,3.137781
north_of_the_arches_public_beach,Not protected,4,42.484667,3.132769
outside_reseve,Not protected,4,42.505658,3.124
south_edge_of_no-take_zone,Protected,4,42.474425,3.155247
south_of_cape_bear,Not protected,4,42.513783,3.135222
