"","country","site","lat","lon","protection","enforcement"
"1","Italy","asinara_add",41.07740853,7.898180497,"Protected","2"
"2","Italy","asinara_add",41.062,8.194,"Protected","3"
"3","Italy","asinara_add",41.055,8.204,"Protected","2"
"4","Italy","asinara_add",41.121,8.217,"Protected","3"
"5","Italy","asinara_add",41.043,8.201,"Protected","2"
"6","Italy","asinara_add",41.024,8.217,"Protected","3"
"7","Italy","asinara_add",41,8.155,"Protected","2"
"8","Italy","asinara_add",41.005,8.212,"Protected","3"
"9","Italy","asinara_add",41.825,8.195,"Protected","2"
"10","Italy","asinara_add",41.049,8.24,"Protected","2"
"11","Italy","asinara",41.038,8.218,"Protected","2"
"12","Italy","asinara",41.091,8.349,"Protected","2"
"13","Italy","linosa",35.870092,12.879812,"Protected","1"
"14","Italy","linosa",35.87009,12.87981,"Protected","1"
"15","Italy","lampedusa",35.501,12.633,"Protected","1"
"16","Italy","lampedusa",35.526,12.604,"Protected","1"
"17","Malta","malta",35.943,14.324,"Not protected","0"
"18","Malta","malta",35.906,14.515,"Not protected","0"
"19","Turkey","adrasan",36.237,30.436,"Not protected","0"
"20","Turkey","adrasan",36.256,30.462,"Not protected","0"
"21","Turkey","adrasan",36.272,30.479,"Not protected","0"
"22","Turkey","adrasan",36.388,30.487,"Not protected","0"
"23","Turkey","adrasan",36.368,30.487,"Not protected","0"
"24","Turkey","adrasan",36.337,30.529,"Not protected","0"
"25","Spain","illa_de_l'aire",39.803,4.295,"Not protected","0"
"26","Spain","illa_de_l'aire",39.8,4.288,"Not protected","0"
"27","Spain","illa_de_l'aire",39.822,4.22,"Not protected","0"
"28","Spain","illa_de_l'aire",39.821,4.227,"Not protected","0"
"29","Spain","illa_de_l'aire",39.801,4.282,"Not protected","0"
"30","Spain","illa_de_l'aire",39.814,4.238,"Not protected","0"
"31","Greece","alonissos",39.108,23.785,"Protected","1"
"32","Greece","alonissos",39.101,23.779,"Protected","1"
"33","Greece","alonissos",39.152,23.829,"Protected","1"
"34","Greece","alonissos",39.158,23.841,"Protected","1"
"35","Greece","alonissos",39.172,23.872,"Protected","1"
"36","Greece","alonissos",39.203,23.867,"Protected","1"
"37","Turkey","ayvalik",39.322,26.546,"Not protected","0"
"38","Turkey","ayvalik",39.335,26.593,"Not protected","0"
"39","Turkey","ayvalik",39.333,26.568,"Not protected","0"
"40","Turkey","ayvalik",39.336,26.563,"Not protected","0"
"41","Turkey","ayvalik",39.358,26.59,"Not protected","0"
"42","Turkey","ayvalik",39.332,26.53,"Not protected","0"
"43","Spain","cabrera",39.126,2.958,"Protected","2"
"44","Spain","cabrera",39.138,2.961,"Protected","2"
"45","Spain","cabrera",39.169,2.978,"Protected","2"
"46","Spain","cabrera",39.205,2.978,"Protected","2"
"47","Spain","cabrera",39.13,2.929,"Protected","2"
"48","Spain","cabrera",39.133,2.924,"Protected","2"
"49","Italy","capo_caccia",40.362,8.085,"Protected","2"
"50","Italy","capo_caccia",40.361,8.084,"Protected","2"
"51","Italy","capo_caccia",40.569,8.233,"Protected","2"
"52","Italy","capo_caccia",40.569,8.23,"Protected","2"
"53","Italy","carloforte",39.113,8.185,"Not protected","0"
"54","Italy","carloforte",39.109,8.16,"Not protected","0"
"55","Italy","carloforte",39.087,8.132,"Not protected","0"
"56","Italy","carloforte",39.085,8.138,"Not protected","0"
"57","Italy","carloforte",39.076,8.147,"Not protected","0"
"58","Italy","carloforte",39.065,8.149,"Not protected","0"
"59","Spain","cavalleria",40.085,4.1,"Protected","2"
"60","Spain","cavalleria",40.085,4.096,"Protected","2"
"61","Spain","cavalleria",40.091,4.08,"Protected","2"
"62","Spain","cavalleria",40.074,4.094,"Protected","2"
"63","Spain","cavalleria",40.069,4.033,"Protected","2"
"64","Spain","cavalleria",40.059,4.125,"Protected","2"
"65","Spain","cap_de_creus",42.245,3.231,"Protected","2"
"66","Spain","cap_de_creus",42.247,3.237,"Protected","2"
"67","Spain","cap_de_creus",42.313,3.311,"Protected","2"
"68","Spain","cap_de_creus",42.292,3.308,"Protected","2"
"69","Spain","cap_de_creus",42.333,3.28,"Protected","2"
"70","Spain","cap_de_creus",42.324,3.309,"Protected","2"
"71","Spain","dragonera",39.589,2.318,"Not protected","0"
"72","Spain","dragonera",39.599,2.337,"Not protected","0"
"73","Spain","dragonera",39.586,2.327,"Not protected","0"
"74","Spain","dragonera",39.574,2.31,"Not protected","0"
"75","Spain","dragonera",39.61,2.361,"Not protected","0"
"76","Spain","dragonera",39.563,2.349,"Not protected","0"
"77","Spain","eivissa",38.979,1.159,"Not protected","0"
"78","Spain","eivissa",38.969,1.166,"Not protected","0"
"79","Spain","eivissa",38.956,1.189,"Not protected","0"
"80","Spain","eivissa",38.96,1.196,"Not protected","0"
"81","Spain","eivissa",38.988,1.207,"Not protected","0"
"82","Spain","eivissa",38.989,1.215,"Not protected","0"
"83","Turkey","fethiye",36.557,29.031,"Not protected","0"
"84","Turkey","fethiye",36.578,29.034,"Not protected","0"
"85","Turkey","fethiye",36.604,29.029,"Not protected","0"
"86","Turkey","fethiye",36.619,29.042,"Not protected","0"
"87","Turkey","fethiye",36.596,29.028,"Not protected","0"
"88","Turkey","fethiye",36.618,29.063,"Not protected","0"
"89","Spain","formentera",38.788,1.481,"Protected","3"
"90","Spain","formentera",38.799,1.481,"Protected","3"
"91","Spain","formentera",38.803,1.479,"Protected","3"
"92","Spain","formentera",38.796,1.48,"Protected","3"
"93","Spain","formentera",38.787,1.485,"Protected","3"
"94","Spain","formentera",38.804,1.479,"Protected","3"
"95","Spain","formentor",39.956,3.16,"Not protected","0"
"96","Spain","formentor",39.946,3.135,"Not protected","0"
"97","Spain","formentor",39.959,3.172,"Not protected","0"
"98","Spain","formentor",39.956,3.192,"Not protected","0"
"99","Spain","formentor",39.943,3.198,"Not protected","0"
"100","Italy","genova",44.36,9.131,"Not protected","0"
"101","Italy","genova",44.362,9.126,"Not protected","0"
"102","Italy","genova",44.371,9.092,"Not protected","0"
"103","Italy","genova",44.367,9.107,"Not protected","0"
"104","Italy","genova",44.375,9.077,"Not protected","0"
"105","Italy","genova",44.378,9.053,"Not protected","0"
"106","Turkey","gokova",37.021,28.079,"Not protected","0"
"107","Turkey","gokova",37.022,28.114,"Not protected","0"
"108","Turkey","gokova",37.029,28.161,"Not protected","0"
"109","Turkey","gokova",37.031,28.137,"Not protected","0"
"110","Turkey","gokova",37.024,28.055,"Not protected","0"
"111","Turkey","gokova",37.013,28.108,"Not protected","0"
"112","Greece","gyaros",37.583,24.752,"Not protected","0"
"113","Greece","gyaros",37.605,24.65,"Not protected","0"
"114","Greece","gyaros",37.6,24.674,"Not protected","0"
"115","Greece","gyaros",37.633,24.739,"Not protected","0"
"116","Greece","gyaros",37.629,24.705,"Not protected","0"
"117","Greece","gyaros",37.609,24.68,"Not protected","0"
"118","Greece","karpathos",35.879,26.823,"Not protected","0"
"119","Greece","karpathos",35.875,26.823,"Not protected","0"
"120","Greece","karpathos",35.868,27.236,"Not protected","0"
"121","Greece","karpathos",35.861,27.238,"Not protected","0"
"122","Greece","karpathos",35.828,27.207,"Not protected","0"
"123","Greece","karpathos",35.83,27.239,"Not protected","0"
"124","Turkey","kas",36.151,29.617,"Not protected","0"
"125","Turkey","kas",36.141,29.662,"Not protected","0"
"126","Turkey","kas",36.182,29.639,"Not protected","0"
"127","Turkey","kas",36.163,29.629,"Not protected","0"
"128","Turkey","kas",36.188,29.605,"Not protected","0"
"129","Turkey","kas",36.152,29.63,"Not protected","0"
"130","Greece","kimolos",36.754,24.615,"Not protected","0"
"131","Greece","kimolos",36.744,24.634,"Not protected","0"
"132","Greece","kimolos",36.748,24.658,"Not protected","0"
"133","Greece","kimolos",36.751,24.667,"Not protected","0"
"134","Greece","kimolos",36.755,24.548,"Not protected","0"
"135","Greece","kimolos",36.707,24.547,"Not protected","0"
"136","Italy","maratea",39.932,15.743,"Not protected","0"
"137","Italy","maratea",39.943,15.732,"Not protected","0"
"138","Italy","maratea",39.991,15.699,"Not protected","0"
"139","Italy","maratea",40.017,15.674,"Not protected","0"
"140","Italy","maratea",40.038,15.66,"Not protected","0"
"141","Italy","maratea",40.038,15.65,"Not protected","0"
"142","Spain","medes",42.049,3.22,"Protected","3"
